cik,revenue,rd_spend,rd_ratio,preliminary_score,exploratory_mentions,strategic_mentions,implementation_mentions,total_ai_mentions,adoption_phase,key_mentions
1652044,257637000000,36210000000,14.054658298303426,96.2,0,0,0,0,No AI Activity,[]
320193,265595000000,31370000000,11.81121632560854,87.2,0,0,0,0,No AI Activity,[]
789019,36148000000,7544000000,20.86975766294124,74.5,0,0,0,0,No AI Activity,[]
14272,35958000000,7968000000,22.159185716669448,74.4,0,0,0,0,No AI Activity,[]
1730168,20848000000,9310000000,44.65656178050652,68.3,0,0,0,0,No AI Activity,[]
12927,51275000000,2976000000,5.803998049731838,43.7,0,0,0,0,No AI Activity,[]
1521332,14806000000,1289000000,8.705930028366879,40.7,0,0,0,0,No AI Activity,[]
1800,30976000000,2095000000,6.763300619834711,39.4,0,0,0,0,No AI Activity,[]
1755672,12930000000,1037000000,8.020108275328692,37.3,0,0,0,0,No AI Activity,[]
1467373,17689545000,1150430000,6.503445962007502,33.1,0,0,0,0,No AI Activity,[]
1065088,17902000000,1104000000,6.1669087252820916,31.8,0,0,0,0,Not Analyzed,
10795,20178000000,1190000000,5.897512141936763,31.7,0,0,0,0,Not Analyzed,
313616,19893000000,1142000000,5.740712813552506,30.9,0,0,0,0,Not Analyzed,
66740,18565000000,1000000000,5.386479935362241,29.0,0,0,0,0,Not Analyzed,
